date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2013-03-12 | 2147483647
2025-11-05 | 46126.525756
2021-01-25 | 733.068548
2022-12-03 | -1
2011-05-16 | 2147483647
2013-12-18 | 2147483648
2024-11-25 | 1000000.50
2022-08-18 | 3479.906232
2010-01-06 | 5115.778227
2016-09-12 | 2147483648
2011-12-30 | 7483.057685
2024-08-14 | 49437.721957
2010-01-03 | 2147483648
2011-03-31 | 0.000001
2013-05-26 | 61599.687599
2014-01-12 | 2147483647
2024-01-10 | 1000000.50
2009-04-17 | 0.000001
2011-12-31 | 15318.564937
2016-06-03 | 0.000001
2017-09-17 | 1000000.50
2013-01-09 | 1000000.50
2022-03-14 | 2147483648
2013-04-15 | -1
2015-09-23 | 18387.906036
2020-12-30 | 0
2019-01-31 | 31403.335641
2009-04-12 | 58757.612897
2009-12-07 | 54635.332009
2020-09-05 | 39715.260026
2013-01-02 | 39305.869248
2025-01-16 | 78907.678431
2019-12-26 | 0.000001
2015-12-02 | 47094.450586
2016-06-10 | 20146.446321
2022-08-16 | 15710.386162
2024-04-23 | 0
2017-07-08 | 1000000.50
2025-06-28 | 2147483647
2025-04-24 | 0.000001
2013-08-02 | 0.000001
2021-05-06 | -1
2022-08-14 | 1000000.50
2021-06-02 | 0
2009-05-18 | 72219.274941
2015-07-09 | 1000000.50
2023-04-26 | 0.000001
2018-03-27 | 43710.642271
2023-05-02 | 60897.025054
2014-02-25 | 2147483648
2009-02-20 | 2147483647
2024-12-31 | 99726.24043
2012-10-13 | 76448.37597
2010-12-04 | 2147483648
2023-02-02 | 2147483647
2021-02-23 | 1000000.50
2018-12-23 | 1000000.50
2014-07-27 | 91585.47733
2011-04-02 | 2147483648
2016-10-15 | 42837.80704
2018-01-15 | 2147483647
2016-04-18 | 46719.352995
2021-12-24 | 57016.019481
2011-02-12 | 0
2011-01-04 | 2147483648
2022-12-12 | 67497.67438
2019-06-02 | 2147483648
2009-01-25 | 2147483648
2024-11-21 | 0
2023-06-28 | 0
2014-11-10 | 2147483647
2017-12-13 | 1000000.50
2011-05-02 | 2147483648
2011-05-24 | 2147483648
2016-10-19 | -1
2025-08-11 | 2147483648
2017-07-22 | 35895.922168
2018-03-27 | 28821.786654
2019-09-23 | 64884.651899
2015-09-05 | 0
2011-01-03 | 1.2
2017-06-02 | 94147.060439
2012-02-18 | 2147483648
2013-03-29 | 0
2018-12-02 | 14581.856061
2015-05-25 | -1
2011-04-26 | 63356.701842
2025-05-22 | 1000000.50
2011-03-06 | 0
2012-03-19 | 22104.281834
2016-05-23 | 33473.629027
2018-02-12 | 74947.76362
2021-01-13 | -1
2011-01-00 | 10
2022-06-01 | 1000000.50
2013-02-15 | 6817.656229
2021-10-18 | 56906.498001
2013-01-29 | 21211.992897
2011-03-22 | 2147483647
2017-07-19 | 28652.36479
2015-09-27 | -1
2015-09-18 | 2147483647
2024-04-12 | 2147483647
2012-12-10 | 2147483647
2024-06-21 | 35154.704862
2012-04-09 | 2147483647
2013-01-13 | 0
2014-05-27 | 2147483648
2019-08-20 | 2147483647
2019-12-14 | 81951.528288
2024-12-28 | 0.000001
2024-10-21 | 4032.990408
2018-05-08 | 38025.38249
2019-06-07 | 0.000001
2009-11-28 | 2147483648
2018-10-04 | 2147483647
2019-05-09 | -1
2020-08-12 | 0
2025-02-26 | -1
2020-03-01 | 2147483648
2018-05-01 | 53703.599883
2023-06-21 | 96681.113689
2023-06-20 | 1000000.50
2025-04-08 | 0
2024-03-31 | 66067.194145
2019-09-19 | -1
2014-07-24 | 2147483648
2021-01-09 | 56467.028118
2020-05-21 | 83511.984312
2011-13-01 | 10
